Testset,Number of Samples,Accuracy
yearbook-0,845,87.10059356689453
yearbook-1,1279,82.25176239013672
yearbook-2,1057,92.7152328491211
yearbook-3,2616,94.03669738769531
yearbook-4,1367,94.36723327636719
yearbook-5,1204,86.37873840332031
yearbook-6,1831,83.50627899169922
yearbook-7,1441,86.67591857910156
yearbook-8,1634,93.1456527709961
yearbook-9,2476,93.2148666381836
yearbook-10,1817,89.5982437133789
yearbook-11,2488,76.28617095947266
yearbook-12,1728,78.64583587646484
yearbook-13,2592,84.10494232177734
yearbook-14,1993,90.36627960205078
yearbook-15,1924,93.81497192382812
yearbook-16,2093,94.93550109863281
yearbook-17,2375,95.78947448730469
yearbook-18,2078,95.33204650878906
yearbook-19,1124,94.57295227050781
yearbook-20,1227,93.39852905273438
